Date_Time,Work_Volume,Schedule_Adherence_Percent,Event_Scheduling_Needed,Average_Handling_Time_sec,Latency_sec,Utilization_Rate_Percent,Shrinkage_Rate_Percent,Attendance_Rate_Percent,Overstaffing_Indicator,Understaffing_Indicator,Service_Level_Compliance_Percent
2023-01-08 02:01:11.900654,15,81.69,0,137,27,77.27,13.56,94.19,0,0,89.38
2023-01-08 02:02:11.900654,13,84.53,0,172,22,77.97,19.12,98.01,1,0,86.33
2023-01-08 02:03:11.900654,17,91.86,1,166,33,73.64,11.36,92.0,1,0,96.07
2023-01-08 02:04:11.900654,17,88.5,0,120,30,74.62,16.04,95.7,1,1,99.23
2023-01-08 02:05:11.900654,12,95.7,0,173,28,62.16,17.76,87.9,1,0,84.59
2023-01-08 02:06:11.900654,14,85.75,1,179,29,93.41,15.19,93.45,1,0,74.57
2023-01-08 02:07:11.900654,18,84.4,0,187,29,86.89,19.1,97.29,0,1,82.55
2023-01-08 02:08:11.900654,12,81.13,1,206,30,94.53,12.97,87.8,1,0,92.67
2023-01-08 02:09:11.900654,15,87.15,0,205,38,76.38,17.26,94.35,0,0,95.23
2023-01-08 02:10:11.900654,13,98.93,0,210,37,87.75,12.77,97.88,0,0,86.38
2023-01-08 02:11:11.900654,10,83.58,1,168,27,61.63,12.94,97.37,1,0,86.08
2023-01-08 02:12:11.900654,15,99.91,0,152,23,63.31,14.48,86.84,0,1,82.87
2023-01-08 02:13:11.900654,17,95.71,0,244,28,62.9,11.57,98.05,0,0,87.82
2023-01-08 02:14:11.900654,14,87.14,1,197,30,80.18,18.67,95.61,0,1,86.76
2023-01-08 02:15:11.900654,19,87.62,0,190,17,91.7,15.69,91.29,1,0,83.91
2023-01-08 02:16:11.900654,16,80.41,0,213,29,87.45,14.15,89.4,0,1,78.93
2023-01-08 02:17:11.900654,15,97.31,0,213,35,76.64,14.02,97.89,1,0,87.99
2023-01-08 02:18:11.900654,23,99.97,0,166,36,90.47,18.57,95.2,0,0,86.11
2023-01-08 02:19:11.900654,17,91.5,0,144,32,80.41,19.94,94.69,1,1,92.56
2023-01-08 02:20:11.900654,22,81.93,0,170,33,64.74,13.73,86.38,0,0,97.95
2023-01-08 02:21:11.900654,19,93.35,0,195,29,80.05,17.26,97.05,0,0,71.39
2023-01-08 02:22:11.900654,11,88.64,0,210,24,67.74,11.9,93.62,1,1,96.28
2023-01-08 02:23:11.900654,14,93.2,1,187,25,71.78,17.02,98.94,0,0,84.69
2023-01-08 02:24:11.900654,16,88.11,0,151,39,85.52,19.1,92.93,0,1,77.17
2023-01-08 02:25:11.900654,13,86.84,0,221,30,62.4,15.58,99.42,1,1,94.91
2023-01-08 02:26:11.900654,17,90.34,0,174,37,60.15,15.68,94.27,0,0,78.83
2023-01-08 02:27:11.900654,18,96.65,1,284,22,91.84,12.53,95.84,0,1,99.59
2023-01-08 02:28:11.900654,17,89.97,0,153,28,69.11,14.49,97.04,0,1,77.37
2023-01-08 02:29:11.900654,12,96.53,0,170,30,65.21,17.28,90.84,0,0,89.11
2023-01-08 02:30:11.900654,18,92.39,1,171,29,68.06,15.66,86.91,0,1,81.6
2023-01-08 02:31:11.900654,17,88.13,0,150,30,81.04,14.45,87.3,0,1,99.4
2023-01-08 02:32:11.900654,12,96.03,0,171,25,78.51,16.79,88.54,0,1,71.34
2023-01-08 02:33:11.900654,21,82.31,0,154,28,75.57,11.04,86.58,1,0,98.62
2023-01-08 02:34:11.900654,19,82.92,0,249,24,66.46,15.7,88.04,0,0,77.59
2023-01-08 02:35:11.900654,11,94.4,0,188,27,89.43,11.6,85.15,0,0,76.84
2023-01-08 02:36:11.900654,11,87.2,0,153,24,86.87,18.71,98.22,0,1,84.1
2023-01-08 02:37:11.900654,13,87.51,0,195,30,76.14,10.96,87.95,0,1,99.34
2023-01-08 02:38:11.900654,11,90.53,1,202,34,94.13,17.56,94.16,0,0,76.36
2023-01-08 02:39:11.900654,14,95.37,0,101,16,75.26,15.31,91.37,1,0,83.16
2023-01-08 02:40:11.900654,17,95.17,0,104,34,87.87,15.6,87.28,0,1,88.05
2023-01-08 02:41:11.900654,17,92.69,1,80,28,70.08,18.76,97.64,0,0,80.84
